date,cash,shares,close,position_value,equity
2026-01-02,1000000.0,0.0,1585.0,0.0,1000000.0
2026-01-05,1000000.0,0.0,1670.0,0.0,1000000.0
2026-01-06,1000000.0,0.0,1705.0,0.0,1000000.0
2026-01-07,1000000.0,0.0,1675.0,0.0,1000000.0
2026-01-08,1000000.0,0.0,1685.0,0.0,1000000.0
2026-01-09,1000000.0,0.0,1680.0,0.0,1000000.0
2026-01-12,1000000.0,0.0,1690.0,0.0,1000000.0
2026-01-13,1000000.0,0.0,1710.0,0.0,1000000.0
2026-01-14,1000000.0,0.0,1710.0,0.0,1000000.0
2026-01-15,1000000.0,0.0,1690.0,0.0,1000000.0
2026-01-16,1000000.0,0.0,1740.0,0.0,1000000.0
2026-01-19,1000000.0,0.0,1760.0,0.0,1000000.0
2026-01-20,1000000.0,0.0,1775.0,0.0,1000000.0
2026-01-21,1000000.0,0.0,1740.0,0.0,1000000.0
2026-01-22,1000000.0,0.0,1760.0,0.0,1000000.0
2026-01-23,1000000.0,0.0,1770.0,0.0,1000000.0
2026-01-26,1000000.0,0.0,1755.0,0.0,1000000.0
2026-01-27,1000000.0,0.0,1780.0,0.0,1000000.0
2026-01-28,1000000.0,0.0,1820.0,0.0,1000000.0
2026-01-29,1000000.0,0.0,1805.0,0.0,1000000.0
2026-01-30,1000000.0,0.0,1775.0,0.0,1000000.0
2026-02-02,1000000.0,0.0,1765.0,0.0,1000000.0
2026-02-03,1000000.0,0.0,1800.0,0.0,1000000.0
2026-02-04,1000000.0,0.0,1785.0,0.0,1000000.0
2026-02-05,1000000.0,0.0,1765.0,0.0,1000000.0
2026-02-06,1000000.0,0.0,1780.0,0.0,1000000.0
2026-02-09,1000000.0,0.0,1815.0,0.0,1000000.0
2026-02-10,1000000.0,0.0,1880.0,0.0,1000000.0
2026-02-11,1000000.0,0.0,1915.0,0.0,1000000.0
2026-02-23,1000000.0,0.0,1900.0,0.0,1000000.0
2026-02-24,1000000.0,0.0,1965.0,0.0,1000000.0
2026-02-25,1000000.0,0.0,2015.0,0.0,1000000.0
2026-02-26,1000000.0,0.0,1995.0,0.0,1000000.0
